Embryo	TipAnn	CladeSize	Total	EffN	Lower	Upper
embryo3	Allantois	1 (289), 2 (1)	291	42195	11343.8819095477	141745.515075377
embryo3	Gut	1 (508), 2 (6), 3 (1)	523	15167	6364.04271356784	56666.6557788945
embryo3	Hematoendothelial progenitors	1 (255), 2 (4)	263	8613.25	4263.34233668342	32505.2801507538
embryo3	Paraxial mesoderm A	1 (482), 2 (6)	494	20295.1666666667	6986.02470686767	74679.0743299833
embryo3	Amniochorionic mesoderm A	1 (371), 2 (7)	385	10560	5226.93467336683	40250.0502512563
embryo3	Primitive erythroid cells	1 (1140), 2 (53), 3 (13), 4 (6), 5 (2), 6 (1), 7 (1), 8 (1)	1340	4231.74528301887	3051.53491514175	7836.17154167062
embryo3	Spinal cord	1 (299), 2 (8)	315	6181.875	3642.33589824121	22048.1697550251
embryo3	Splanchnic mesoderm	1 (208), 2 (3)	214	7597	3760.32412060302	28670.0854271357
embryo3	Surface ectoderm	1 (120), 2 (1)	122	7381	3097.0527638191	27715.8404522613
embryo3	Amniochorionic mesoderm B	1 (299), 2 (3), 4 (1)	309	5287.33333333333	3214.91122278057	18259.8986599665
embryo3	Blood progenitors	1 (77), 2 (4)	85	892.5	626.768216080402	3418.63379396985
embryo3	Endothelium	1 (356), 2 (4)	364	16516.5	6307.80904522613	61708.6319095477
embryo3	Extraembryonic ectoderm	1 (135), 2 (5), 3 (3), 4 (1), 5 (1)	163	440.1	333.945226130653	873.01243718593
embryo3	Extraembryonic mesoderm	1 (175), 2 (1)	177	15576	5361.58793969849	58488.2713567839
embryo3	Extraembryonic visceral endoderm	1 (620), 2 (109), 3 (25), 4 (13), 5 (4), 6 (8), 7 (3), 10 (1), 12 (1)	1076	970.385906040268	827.753806785606	1175.19097163671
embryo6	Allantois	1 (151), 2 (1)	153	11628	4440.84422110553	44101.6733668342
embryo6	Gut	1 (566), 2 (21), 3 (2), 4 (1)	618	5777.36363636364	3730.60918227501	18645.787916857
embryo6	Hematoendothelial progenitors	1 (213), 2 (4), 3 (1)	224	3568	2169.48743718593	12187.6783919598
embryo6	Paraxial mesoderm A	1 (607), 2 (19)	645	10931.0526315789	5616.58357577361	41458.3516265538
embryo6	Amniochorionic mesoderm A	1 (177), 2 (5), 3 (1)	190	2244.375	1449.25722361809	7074.29255653266
embryo6	Primitive erythroid cells	1 (592), 2 (28), 3 (6), 4 (2), 5 (1), 6 (2)	691	2432.60204081633	1845.8437596144	3816.98486052713
embryo6	Spinal cord	1 (513), 2 (3)	519	44807	11201.75	148831.291457286
embryo6	Splanchnic mesoderm	1 (465), 2 (6), 3 (1), 4 (1)	484	7792.4	4591.25075376884	29260.6577889447
embryo6	Surface ectoderm	1 (857), 2 (19), 3 (4)	907	13253.9032258065	6060.8301183336	50018.4991084455
embryo6	Amniochorionic mesoderm B	1 (181), 2 (1), 3 (1)	186	4301.25	2453.22550251256	15583.925879397
embryo6	Blood progenitors	1 (143), 2 (3)	149	3675.33333333333	2096.23283082077	13800.9690117253
embryo6	Endothelium	1 (174), 2 (2)	178	7876.5	3601.81658291457	29576.4554020101
embryo6	Extraembryonic ectoderm	1 (72), 2 (14), 3 (3), 4 (1)	113	218.206896551724	165.574077282967	502.753075723445
embryo6	Extraembryonic mesoderm	1 (526), 2 (12)	550	12581.25	5753.23492462312	47479.993718593
embryo6	Extraembryonic visceral endoderm	1 (213), 2 (22), 3 (3), 5 (2), 6 (1), 9 (1)	291	413.676470588235	321.690622228791	594.530002955956
